time,Displacement,velocity,Acceleration
0.0,0.0,0.0,982.4992212631977
0.005,0.00101544300120797,0.40617720048318784,-820.0283410699226
0.01,0.0025338899712709774,0.201201587542015,738.0380958934535
0.015,0.0036129331329878434,0.23041567714473166,-726.3524600523668
0.02,0.004110882485479577,-0.031235936148038324,621.6918147352588
0.025,0.003969001962010237,-0.025516273239697407,-619.4039495719225
0.03,0.0035250784530786966,-0.1520531303329189,568.7892067346339
0.035,0.00299004373710325,-0.0619607560572597,-532.7522570243702
0.04,0.0026324792852482864,-0.08106502468472554,525.1105495733839
0.045,0.0023853853319623394,-0.01777255662965338,-499.79356235135504
0.05,0.002153487167137001,-0.0749867093004819,476.9079012830236
0.055,0.0018631869044008556,-0.041133395793976124,-463.3665758804213
0.06,0.0018037834441416542,0.017372011690295786,486.76873887413
0.065,0.002107820484551372,0.10424280447359169,-452.0204217608117
0.07,0.002577434542522712,0.08360281871494446,443.7644274573528
0.075,0.002995275817286985,0.08353369119076492,-443.79207846702457
0.08,0.0032531374102836236,0.019610946007890373,418.2229803938748
0.085,0.003343177016460837,0.01640489646299481,-419.505400211833
0.09,0.003386477394798067,0.00091525487189692,413.3095435753939
0.095,0.0035915653892732075,0.0811199429181595,-381.22766835688884
0.1,0.004121886648014154,0.1310085605782192,401.1831154209127
0.105,0.0049037872998553295,0.18175170015825093,-380.8858595889
0.11,0.005629270365205132,0.10844152598167034,351.5617899182678
0.115,0.005967184438700757,0.026724103416579603,-384.2487589443041
0.12,0.005818592309677465,-0.08616095502589649,339.09473556731365
0.125,0.005295141530051156,-0.12321935682462704,-353.91809628680585
0.13,0.0046031747748998455,-0.153567345235897,341.77890092229785
0.135,0.003867559049376057,-0.14067894497361833,-336.6235408173864
0.14,0.0031720237479119324,-0.13753517561203155,337.88104856202114
0.145,0.0025399692047976996,-0.11528664163366131,-328.98163497067304
0.15,0.001910681244912824,-0.1364285423202889,320.524874696022
0.155,0.0013067865768010977,-0.10512932492440163,-308.0051877376671
0.16,0.0008751253142269817,-0.06753518010524484,323.0428456653298
0.165,0.0007267113497488045,0.008169594313973905,-292.7609358976423
0.17,0.0008509359804238924,0.04152025795606129,306.10120135447727
0.17500000000000002,0.0011067867599749773,0.060820053864372614,-298.3812829911527
0.18,0.00131367291142932,0.021934406717364352,282.82702413234944
0.185,0.001345039212257056,-0.009387886386269972,-295.35594137380315
0.19,0.0011786771978629566,-0.057156919371369797,276.24832817976323
0.195,0.0008779770020673856,-0.06312315894685872,-278.6348240099588
0.2,0.0005525689191333812,-0.06704007422674318,277.068057898005
0.20500000000000002,0.00025331880089973216,-0.05265997306671644,-271.3160174339943
0.21,-6.03046580957404e-05,-0.07278941053147259,263.26424244809186
0.215,-0.0004557087170047145,-0.08537221303211706,-268.29736344834964
0.22,-0.0009366474279359812,-0.10700327134038967,259.6449401250406
0.225,-0.0014347418465314305,-0.09223449609779,-253.73743002800074
0.23,-0.001861393951391929,-0.0784263458464095,259.26069012855294
0.23500000000000001,-0.0021833215630687845,-0.05034469882433279,-248.02803131972223
0.24,-0.002448205888362103,-0.05560903129299455,245.92229833225755
0.245,-0.0027567874544345058,-0.0678235951359667,-250.8081238694464
0.25,-0.0031943083074546506,-0.10718474607209127,235.06366349499658
0.255,-0.003762677801428263,-0.12016305151735374,-240.25498567310154
0.26,-0.004348822977871453,-0.11429501905992201,242.60219865607425
0.265,-0.004783390171371939,-0.059531858340272636,-220.6969343682145
0.27,-0.0049397868530261825,-0.003026814321424598,243.29895197575368
0.275,-0.0047995888505201235,0.05910601532384807,-218.44582011764464
0.28,-0.0044381715360285335,0.08546091047278814,228.98777817722066
0.28500000000000003,-0.003979126168494894,0.09815723654066777,-223.90924775006883
0.29,-0.003538157525437354,0.0782302206823483,215.93844140674105
0.295,-0.003187955431127082,0.061850617041760425,-222.49028286297616
0.3,-0.0029567196518657567,0.030643694662769838,210.00751391137996
0.305,-0.0028580632212976305,0.00881887756448052,-218.73744075069567
0.31,-0.0029020973029674573,-0.026432510232411333,204.63688563193895
0.315,-0.003079082665132641,-0.04436163463366238,-211.80853539243935
0.32,-0.0033307218792298764,-0.05629405100523166,207.03556884381163
0.325,-0.003556238044078141,-0.0339124149340741,-198.08291441534863
0.33,-0.003653086473876704,-0.004826956985351294,209.71709759483775
0.335,-0.0035713890683610992,0.03750591919159302,-192.78394712406
0.34,-0.003341421202283973,0.05448122723925758,199.57407034312584
0.34500000000000003,-0.00306208151346054,0.05725464829011556,-198.46470192278264
0.35000000000000003,-0.002842998667943729,0.03037848991660863,187.71423857337987
0.355,-0.0027386185009885093,0.011373576865479351,-195.3162037938316
0.36,-0.0027120039402961857,-0.0007277525885500125,190.47567201221983
0.365,-0.002656354490363116,0.022987532561777713,-180.98955795208875
0.37,-0.0024516041559852083,0.05891260118938535,195.3595854031318
0.375,-0.002025124960376462,0.11167907705411295,-174.25299505724075
0.38,-0.001377965677125563,0.14718463624624656,188.45521873409422
0.385,-0.0005761460940042257,0.17354319700228832,-177.9117944316775
0.39,0.00028258148624017124,0.1699478350954704,176.47364966895034
0.395,0.001097973042032316,0.15620878722138742,-181.96926881858352
0.4,0.0017843026559654055,0.11832305835184836,166.8149772707679
0.405,0.002271957783814816,0.0767389927879158,-183.44860349634092
0.41000000000000003,0.0025134717642159177,0.01986659937252494,160.6996461301846
0.41500000000000004,0.002498216149786093,-0.025968845144454855,-179.03382393697652
0.42,0.002271516849274583,-0.06471087506014916,163.53701197069879
0.425,0.001933526626423193,-0.07048521408040692,-165.84674757880188
0.43,0.0016138506474114287,-0.05738517752429878,171.08676220124514
0.435,0.0014269128231474515,-0.017389952181292023,-155.08867206404244
0.44,0.0014346201332275602,0.020472876213335545,170.23380342189347
0.445,0.001632093001499107,0.05851627109528318,-155.01644546911442
0.45,0.001967083112123795,0.07547977315459209,161.80184629283798
0.455,0.002375467275304333,0.0878738921176232,-156.84419870762554
0.46,0.002813181006935535,0.08721160053485744,156.57928207451923
0.465,0.003262584517168013,0.09254980355813369,-154.44400086520872
0.47000000000000003,0.0037183744480989004,0.08976616881422117,153.33054696764373
0.47500000000000003,0.004165325242369145,0.08901414889387665,-153.63135493578153
0.48,0.004569109999178655,0.07249975382992718,147.02559691020173
0.485,0.004882717614474289,0.05294329228832678,-154.8481815268419
0.49,0.0050652458408237825,0.02006799825147082,141.6980639120995
0.495,0.005095143216699426,-0.008109047901213584,-152.96888237317327
0.5,0.00497215019017797,-0.041088162707368536,139.77723645071129
0.505,0.004707081454861224,-0.06493933141933,-149.31770393549587
0.51,0.00431401983918335,-0.09228531485181979,138.37931056249997
0.515,0.003810418617507602,-0.10915517381847945,-145.12725414916383
0.52,0.003227556914704984,-0.12398950730256775,139.1935207555285
0.525,0.0026179625312503143,-0.11984824607930028,-137.5370162662215
0.53,0.002052699466186275,-0.10625697994631539,142.97352271941548
0.535,0.0016035036389162476,-0.07342135096169555,-129.83927112556754
0.54,0.0013211809743722794,-0.03950771485589172,143.40472556788907
0.545,0.0012193781417169103,-0.001213418206256034,-128.0870069080348
0.55,0.00127435536974832,0.0232043094188199,137.85409795806518
0.555,0.0014359986915603164,0.04145301930597861,-130.5546140032017
0.56,0.001643884592762883,0.041701341175048035,130.65394275082946
0.5650000000000001,0.0018366084229457609,0.03538819089810308,-133.17920286160745
0.5700000000000001,0.001955280493496932,0.012080637322365473,123.85618143131241
0.5750000000000001,0.0019440166499866906,-0.01658617472646201,-135.3229062508434
0.58,0.0017571297098215215,-0.05816860133960561,118.68993560558596
0.585,0.001371711479043328,-0.0959986909716718,-133.82197145841243
0.59,0.000801784167764513,-0.13197223353985416,119.43255443113948
0.595,0.00010156066961821493,-0.14811716571866507,-125.89052730266386
0.6,-0.0006455841770702111,-0.15074077295670535,124.84108440744775
0.605,-0.001351765044380493,-0.13173157396740748,-117.2374048117286
0.61,-0.0019494770851199595,-0.10735324232837917,126.98873746733992
0.615,-0.0024073318028070834,-0.07578864474647035,-114.36289843457638
0.62,-0.0027290135167644747,-0.052884040836486124,123.52473999857008
0.625,-0.00294128120392516,-0.03202303402778822,-115.1803372750909
0.63,-0.0030774099137277754,-0.022428449893257818,119.01817092890307
0.635,-0.0031660450879780846,-0.013025619806865785,-115.25703889434627
0.64,-0.0032259604061667816,-0.010940507468613025,116.09108382964737
0.645,-0.0032667553696576895,-0.005377477927750063,-113.86587201330218
0.65,-0.003290029106750937,-0.003932016909549141,114.44405642058254
0.655,-0.003291945283507452,0.0031655462069430373,-111.60503117398568
0.66,-0.003266424502912956,0.007042766030855352,113.1559191035506
0.665,-0.0032121180937616798,0.014679797629655156,-110.10110646403069
0.67,-0.003139375974537911,0.014417050059852443,109.9960074361096
0.675,-0.0030743749539856218,0.011583358161063428,-111.1294841956252
0.68,-0.00305385658571933,-0.003376010854546585,105.1457365893812
0.685,-0.0031119689143666884,-0.019868920604396767,-111.74290048932127
0.6900000000000001,-0.0032628228918090488,-0.04047267037254737,103.50140058206104
0.6950000000000001,-0.0034894402018431823,-0.050174253641106115,-107.38203388948453
0.7000000000000001,-0.003744191861782023,-0.05172641033443026,106.76117121215488
0.705,-0.003963042387997331,-0.035813800151693165,-100.39612713906003
0.71,-0.004085602102109111,-0.013210085493018608,109.43761300252984
0.715,-0.004073475578626496,0.018060694886064682,-96.92930085089654
0.72,-0.003918227380133424,0.04403858451116449,107.32045670093646
0.725,-0.0036391510884755023,0.06759193215200415,-97.8991176446006
0.73,-0.0032727639303992227,0.07896293107850777,102.44751721520204
0.735,-0.002861123733321852,0.08569314775244044,-99.75543054562897
0.74,-0.0024414636311939205,0.08217089309873232,98.34652868414572
0.745,-0.00204014823136271,0.07835526683375194,-99.87277919013788
0.75,-0.0016691668896528945,0.07003726985017436,96.54558039670685
0.755,-0.0013265138634483355,0.06702394063164926,-97.75091208411689
0.76,-0.0009994197107879492,0.06381372043250527,96.4668240044593
0.765,-0.0006720078887595841,0.06715100837884078,-95.1319088259251
0.77,-0.0003341866268523466,0.06797749638405426,95.46250402801049
0.775,1.052853734079403e-05,0.06990856929320205,-94.69007486435137
0.78,0.0003437498612834277,0.06337996028385146,92.07863126061113
0.785,0.0006378842872832107,0.05427381011606175,-95.72109132772701
0.79,0.000867954889419876,0.03775443073860435,89.11333957674405
0.795,0.0010229063252214354,0.024226143582019466,-94.52465443937801
0.8,0.0011121710526876343,0.011479747404460089,89.42609596835426
0.805,0.0011634896045657353,0.009047673346780416,-90.39892559142612
0.81,0.0012147489693868714,0.01145607258167397,91.36228528538355
0.8150000000000001,0.0013028598375154129,0.023788274669742593,-86.4294044501561
0.8200000000000001,0.001455328898067111,0.03719934955093662,91.7938344026337
0.8250000000000001,0.001685484403745385,0.05486285272037297,-84.72843313485917
0.8300000000000001,0.001992187578862552,0.06781841732649382,89.9106589773075
0.835,0.0023611028215103917,0.07974767973264221,-85.13895401484815
