#X,trussv3_sim10-Solution_1_Frequency[Structure]
#General/Unknown(),Frequency(Hz)_Real
1.000000,2.56928929
2.000000,6.82697108
3.000000,10.8165639
4.000000,12.8643897
5.000000,13.8561332
6.000000,14.8165892


