#X,trussv3_sim10-Solution_1_Frequency[Structure]
#General/Unknown(),Frequency(Hz)_Real
1.000000,2.56929352
2.000000,6.82704986
3.000000,10.8167822
4.000000,12.8648945
5.000000,13.8571696
6.000000,14.8172759


