#X,trussv3_sim10-Solution_1_Frequency[Structure]
#General/Unknown(),Frequency(Hz)_Real
1.000000,2.547770
2.000000,6.769150
3.000000,10.727400
4.000000,12.756300
5.000000,13.736700
6.000000,14.693600


