#X,trussv3_sim10-Solution_1_Frequency[Structure]
#General/Unknown(),Frequency(Hz)_Real
1.000000,2.56931807
2.000000,6.82749955
3.000000,10.8179216
4.000000,12.8677426
5.000000,13.8635342
6.000000,14.8209946


