#X,trussv3_sim10-Solution_1_Frequency[Structure]
#General/Unknown(),Frequency(Hz)_Real
1.000000,2.56928889
2.000000,6.82696367
3.000000,10.8165403
4.000000,12.8643419
5.000000,13.8560503
6.000000,14.8165203


