#X,trussv3_sim10-Solution_1_Frequency[Structure]
#General/Unknown(),Frequency(Hz)_Real
1.000000,2.56929905
2.000000,6.82715200
3.000000,10.8170473
4.000000,12.8655452
5.000000,13.8585941
6.000000,14.8181367


