Retained internal modes,Reduction time (s),Eigenproblem time (s),CB Mode 1 error (%),CB Mode 2 error (%),CB Mode 3 error (%),CB Mode 4 error (%),CB Mode 5 error (%),CB Mode 6 error (%),CB Mode 1 freq,CB Mode 2 freq,CB Mode 3 freq,CB Mode 4 freq,CB Mode 5 freq,CB Mode 6 freq,GI Mode 1 freq,GI Mode 2 freq,GI Mode 3 freq,GI Mode 4 freq,GI Mode 5 freq,GI Mode 6 freq,GI Mode 1 error (%),GI Mode 2 error (%),GI Mode 3 error (%),GI Mode 4 error (%),GI Mode 5 error (%),GI Mode 6 error (%),Full Mode 1 freq,Full Mode 2 freq,Full Mode 3 freq,Full Mode 4 freq,Full Mode 5 freq,Full Mode 6 freq
1,2.6066472999518737,0.0004440000047907233,0.23117912572494076,12.769763951412111,11.571646899251279,12.012689996021814,7.656491539206624,181.7703175561282,2.578965490085694,7.7180191985057,12.112043231243454,14.467896531756537,14.928312948937863,41.91953606020475,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
2,1.7220998000120744,0.0004288000054657459,0.2310421958464478,0.258730127384035,11.077183590525221,3.9453344746652506,7.627348263767382,29.361342094508437,2.578961966856353,6.861757769346313,12.058365068932543,13.42589258584624,14.924271762662016,19.245346677252556,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
3,1.5325901999603957,0.00033740000799298286,0.09777049270409265,0.2557718381455895,2.9551220505694595,1.3961525675026556,6.7074635745182505,16.818194154903527,2.5755328629965852,6.861555302547261,11.176646789846854,13.096632570085847,14.796714879452178,17.379277366179675,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
4,1.7832959999796003,0.00044000003254041076,0.014751977132240978,0.2545567532525278,0.41520272610372605,1.0891917419585138,1.066804732321771,2.931886499390623,2.5733967823022796,6.861472141527819,10.900917126291928,13.056984584992078,14.01454634292843,15.313383486522122,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
5,1.8103380000102334,0.00043750001350417733,0.014748269866780524,0.07294119202392924,0.41520172537851474,0.9601416857296277,1.0663284767398187,0.17875900818272877,2.5733966869137013,6.849042281437718,10.900917017654766,13.04031609090446,14.014480302392746,14.903795180177395,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
6,1.7475863000145182,0.00046609999844804406,0.014748269878534228,0.072941190853668,0.41518458037730616,0.9601375032931455,1.0651646837055637,0.1787333799108529,2.5733966869140037,6.849042281357625,10.90091515642029,13.040315550688362,14.014318923674429,14.903791367407916,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
7,1.7262417000019923,0.0004480000352486968,0.014748269580635725,0.07293426136310828,0.40897703910165184,0.9573627316205033,0.6680230321598499,0.16544989363612905,2.5733966869063387,6.849041807099816,10.900241275462358,13.039957152818795,13.959248813413838,14.901815156475806,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
8,1.6843936000368558,0.000458399998024106,0.014748230366940564,0.07293204446429283,0.4089629286798885,0.9573013886540825,0.667052308041541,0.1654400043199129,2.5733966858973636,6.849041655374149,10.900239743657073,13.039949229576427,13.959114206821909,14.90181368522237,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
9,1.7143709000083618,0.0004726999904960394,0.014748209204807355,0.0729308653142467,0.40896076255648744,0.9572817314150411,0.6669169192879655,0.1654390772056694,2.5733966853528583,6.849041574672529,10.90023950850611,13.039946690588206,13.959095432982503,14.901813547293722,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
10,1.8193295000237413,0.0004987000138498843,0.0147481455866144,0.07293083995503094,0.4089385253330304,0.9572660780376351,0.6662766512594284,0.16539881120178507,2.573396683715951,6.849041572936931,10.900237094467961,13.039944668750817,13.959006649469641,14.901807556839453,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
