time,Displacement full,Displacement GI,Displacement CB
0.0,0.0,0.0,0.0
0.0001,2.676184818153234e-06,1.6473006013607018e-07,3.1095092802033815e-07
0.0002,9.140199844384914e-06,6.588801116017452e-07,1.2436586360506373e-06
0.00030000000000000003,1.7776723320376062e-05,1.4823617903647683e-06,2.797801616585914e-06
0.0004,2.813054380606707e-05,2.635070584176818e-06,4.972995694088503e-06
0.0005,3.975417098229563e-05,4.116885961332354e-06,7.768794115257084e-06
0.0006000000000000001,5.241712720467187e-05,5.927671499494447e-06,1.1184687648388052e-05
0.0007,6.589617404028463e-05,8.067275012416219e-06,1.5220104691775196e-05
0.0008,8.005010812232623e-05,1.05355286726059e-05,1.9874411391097444e-05
0.0009000000000000001,9.474857361725777e-05,1.3332249128224273e-05,2.514691176574839e-05
0.001,0.00010990669914625963,1.6457237612758884e-05,3.103684784406519e-05
0.0011,0.00012545273694767144,1.991028004628377e-05,3.754339980741797e-05
0.0012000000000000001,0.0001413443021133659,2.369114712738079e-05,4.466568614312439e-05
0.0013000000000000002,0.00015755039944985173,2.77995944150634e-05,5.2402763806156795e-05
0.0014,0.00017405890915980345,3.22353624003014e-05,6.0753628389612066e-05
0.0015,0.00019086548280580114,3.699817656699089e-05,6.9717214303916e-05
0.0016,0.00020797704244690372,4.2087747442444376e-05,7.929239496473595e-05
0.0017000000000000001,0.00022540466636983029,4.750377063768781e-05,8.947798298957605e-05
0.0018000000000000002,0.00024316536788271422,5.3245926878042446e-05,0.0001002727304030299
0.0019,0.0002612775225063014,5.9313882024637375e-05,0.00011167532885066583
0.002,0.00027976192202923774,6.570728708764212e-05,0.00012368440982151864
0.0021000000000000003,0.00029863884804471523,7.242577823212745e-05,0.0001362985448791618
0.0022,0.000317928800810203,7.946897677755544e-05,0.00014951624590133175
0.0023,0.00033765062695579755,8.6836489191968e-05,0.00016333596532807477
0.0024000000000000002,0.000357822076082204,9.452790708198618e-05,0.0001777560964183854
0.0025,0.0003784586001059348,0.00010254280717975246,0.0001927749735153022
0.0026000000000000003,0.00039957380601912993,0.00011088075132794601,0.00020839087231942506
0.0027,0.00042117869408936,0.00011954128646397765,0.00022460201017081573
0.0028,0.0004432820525507344,0.00012852394460443015,0.00024140654633924015
0.0029000000000000002,0.00046589000053354565,0.00013782824283075065,0.0002588025823227091
0.003,0.000489006362421115,0.0001474536832771306,0.0002767881621542707
0.0031000000000000003,0.0005126324377406446,0.00015739975312142272,0.0002953612727170058
0.0032,0.0005367673822448306,0.00016766592457985135,0.00031451984406717426
0.0033,0.0005614081527645058,0.00017825165490617019,0.0003342617497654583
0.0034000000000000002,0.0005865499065309875,0.00018915638639581487,0.0003545848072162459
0.0035,0.0006121860765214224,0.00020037954639548852,0.00037548677801489493
0.0036000000000000003,0.0006383087837977631,0.00021192054731850756,0.0003969653683029169
0.0037,0.0006649089986938663,0.00022377878666612647,0.0004190182291310163
0.0038,0.0006919769475032407,0.00023595364705495428,0.0004416429568299197
0.0039000000000000003,0.0007195023143067965,0.00024844449625047404,0.00046483709338892697
0.004,0.0007474746161584071,0.0002612506872065825,0.0004885981268421142
0.0041,0.000775883403348736,0.0002743715581109789,0.0005129234916621177
0.004200000000000001,0.0008047185771093971,0.0002878064324361536,0.0005378105691614249
0.0043,0.0008339705536650392,0.00030155461899565876,0.0005632566879010982
0.0044,0.0008636305043409939,0.0003156154120052822,0.0005892591241068543
0.0045000000000000005,0.0008936904598972998,0.0003299880911486989,0.0006158151020924224
0.0046,0.00092414346258843,0.0003446719216471346,0.0006429217946901017
0.0047,0.0009549836000129528,0.00035966615433255083,0.0006705763236884376
0.0048000000000000004,0.0009862060695943686,0.00037497002572384175,0.0006987757602769362
0.0049,0.0010178071433528232,0.0003905827581055277,0.000727517125497734
0.005,0.0010497841551875256,0.00040650355960843333,0.0007567973907041395
0.0051,0.0010821354078135506,0.00042273162429184985,0.0007866134780259636
0.005200000000000001,0.0011148601005269365,0.0004392661322267012,0.0008169622608415513
0.0053,0.0011479581959787856,0.00045610624957926206,0.0008478405642564328
0.0054,0.0011814303099994927,0.0004732511286950088,0.0008792451655885028
0.0055000000000000005,0.0012152775585916199,0.0004906999081822255,0.000911172794859646
0.0056,0.0012495014318406885,0.0005084517129950295,0.0009436201352937167
0.0057,0.001284103640835132,0.000526505654515528,0.000976583823820788
0.0058000000000000005,0.0013190859952367157,0.0005448608306348696,0.0010100604515875789
0.0059,0.0013544502665642864,0.000563516325833002,0.0010440465644739729
0.006,0.0013901980845227367,0.0005824712112569989,0.0010785386636155362
0.0061,0.0014263308282179096,0.0006017245447978713,0.0011135332059319474
0.006200000000000001,0.0014628495508529917,0.0006212753711658257,0.0011490266046612465
0.0063,0.0014997549049853144,0.0006411227219639765,0.0011850152298998147
0.0064,0.0015370470996292182,0.0006612656157605668,0.0012214954091479906
0.006500000000000001,0.00157472586048767,0.0006817030581597886,0.0012584634278612352
0.0066,0.001612790418594034,0.0007024340418713287,0.001295915530006748
0.0067,0.0016512395021827879,0.0007234575467788006,0.0013338479186254485
0.0068000000000000005,0.0016900713522474081,0.0007447725400072431,0.0013722567563992226
0.006900000000000001,0.0017292837397179849,0.0007663779759898936,0.0014111381662233469
0.007,0.0017688740009346253,0.0007882727965344539,0.001450488231783992
0.0071,0.0018088390721865664,0.0008104559308890819,0.0014903029981407129
0.007200000000000001,0.001849175537096605,0.0008329262958083439,0.0015305784723138286
0.0073,0.0018898796702525543,0.0008556827956193654,0.001571310623876597
0.0074,0.0019309474886912877,0.0008787243222884157,0.0016124953855520872
0.007500000000000001,0.001972374797082819,0.0009020497554881485,0.0016541286538146534
0.0076,0.0020141572366070087,0.0009256579626657161,0.0016962062894959086
